archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,DIA REF INCH LBS INCH LBS,English,81,"Aluminum Fastener Supply Catalog, PDF page 14",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,81,,DIA REF INCH LBS INCH LBS,unknown,Aluminum Fastener Supply,high,020,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,020,DIA REF INCH LBS INCH LBS,item-cat-006559,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006559,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,14,020,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,.434 .208 .200 .242 .146 .375 .120 .425 .215 .170 .020,37,DIA REF INCH LBS INCH LBS,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006559']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,DIA REF INCH LBS INCH LBS,English,78,"Aluminum Fastener Supply Catalog, PDF page 14",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,88,,DIA REF INCH LBS INCH LBS,unknown,Aluminum Fastener Supply,high,030,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,030,DIA REF INCH LBS INCH LBS,item-cat-006560,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006560,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,14,030,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,.750 .392 .390 .460 .311 .590 .205 .736 .350 .250 .030,37,DIA REF INCH LBS INCH LBS,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006560']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,DIA REF INCH LBS INCH LBS,English,86,"Aluminum Fastener Supply Catalog, PDF page 14",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,81,,DIA REF INCH LBS INCH LBS,unknown,Aluminum Fastener Supply,high,035,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,035,DIA REF INCH LBS INCH LBS,item-cat-006561,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006561,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,14,035,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,.872 .457 .453 .541 .366 .655 .230 .861 .375 .290 .035,37,DIA REF INCH LBS INCH LBS,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006561']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,DIA REF INCH LBS INCH LBS,English,82,"Aluminum Fastener Supply Catalog, PDF page 14",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,80,,DIA REF INCH LBS INCH LBS,unknown,Aluminum Fastener Supply,high,045,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,045,DIA REF INCH LBS INCH LBS,item-cat-006562,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006562,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,14,045,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,.997 .522 .515 .603 .424 .756 .255 .986 .420 .346 .045,37,DIA REF INCH LBS INCH LBS,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006562']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,DIA C’SK DIA DIA DIA,English,82,"Aluminum Fastener Supply Catalog, PDF page 14",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,83,,UNC-2B DIA C’SK DIA DIA DIA DIA MIN REF HEX TORQUE TORQUE,unknown,Aluminum Fastener Supply,high,UNC-2B,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,UNC-2B,UNC-2B DIA C’SK DIA DIA DIA DIA MIN REF HEX TORQUE TORQUE,item-cat-006563,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006563,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,24,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,14,UNC-2B,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,UNC-2B DIA C’SK DIA DIA DIA DIA MIN REF HEX TORQUE TORQUE,37,UNC-2B DIA C’SK DIA DIA DIA DIA MIN REF HEX TORQUE TORQUE,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006563']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,A B C Weight Screw,English,86,"Aluminum Fastener Supply Catalog, PDF page 15",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,83,,Plain Flat Washers,unknown,Aluminum Fastener Supply,high,AN960,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,AN960,Plain Flat Washers,item-cat-006564,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006564,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,15,AN960,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,Screw AN960 A B C Weight Screw AN960 A B C Weight,37,Plain Flat Washers,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006564']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,Phillips Pan Head Self-Drill Screw,English,79,"Aluminum Fastener Supply Catalog, PDF page 24",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,83,,Phillips Pan Head Self-Drill Screw,unknown,Aluminum Fastener Supply,high,153,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,153,Phillips Pan Head Self-Drill Screw,item-cat-006565,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006565,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,24,153,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,1.00 .135 .099 .256 .087 .153,37,Phillips Pan Head Self-Drill Screw,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006565']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,Phillips Pan Head Self-Drill Screw,English,82,"Aluminum Fastener Supply Catalog, PDF page 24",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,86,,Phillips Pan Head Self-Drill Screw,unknown,Aluminum Fastener Supply,high,169,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,169,Phillips Pan Head Self-Drill Screw,item-cat-006566,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006566,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,24,169,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,1.25 .151 .116 .306 .105 .169,37,Phillips Pan Head Self-Drill Screw,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006566']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,Phillips Pan Head Self-Drill Screw,English,85,"Aluminum Fastener Supply Catalog, PDF page 24",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,88,,Phillips Pan Head Self-Drill Screw,unknown,Aluminum Fastener Supply,high,186,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,186,Phillips Pan Head Self-Drill Screw,item-cat-006567,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006567,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,24,186,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,1.25 .183 .135 .357 .122 .186,37,Phillips Pan Head Self-Drill Screw,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006567']",
True,Historical/current mixed,unknown,Fasteners,pg-tools-fasteners,Fasteners,,Hex Washer Head Self-Drill Screw,English,86,"Aluminum Fastener Supply Catalog, PDF page 25",72,medium,table_row,need-tools-repair-fasteners,need-tools-repair-fasteners,87,,Hex Washer Head Self-Drill Screw,unknown,Aluminum Fastener Supply,high,015,need-tools-repair,90,Tools / Fasteners,16,pg-tools-fasteners-page-001,015,Hex Washer Head Self-Drill Screw,item-cat-006568,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-006568,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,ALUMIMUM BOLT catalog.pdf,English,25,015,Aluminum Fastener Supply Catalog,SRC-0107,,Aluminum Fastener Supply,6 20 .38 .135 .104 .093 .114 .250 .080 .328 .015,37,Hex Washer Head Self-Drill Screw,,pg-tools-fasteners,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-fasteners', 'pg-tools-fasteners', 'pg-tools-fasteners-page-001', 'item-cat-006568']",
