archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Science / Environment,pg-service-college-science-environment,Social Science,,College independent-study course in Social Science. Credit: 4U.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,78,,Africa America experience,1995,State University of New York Empire State College,high,GL312,need-education,84,Education / Postsecondary / Science / Environment,15,pg-service-college-science-environment-page-006,GL312,Africa America experience,item-course-002484,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002484,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,GL312,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Social Science; credit: 4U; division: U,42,Africa America experience,,pg-service-college-science-environment,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-science-environment', 'pg-service-college-science-environment-page-006', 'item-course-002484']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Science / Environment,pg-service-college-science-environment,Social Science,,College independent-study course in Social Science. Credit: 4U.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,74,,Africa and its people,1995,State University of New York Empire State College,high,IN334,need-education,84,Education / Postsecondary / Science / Environment,15,pg-service-college-science-environment-page-006,IN334,Africa and its people,item-course-002485,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002485,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,IN334,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Social Science; credit: 4U; division: U,42,Africa and its people,,pg-service-college-science-environment,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-science-environment', 'pg-service-college-science-environment-page-006', 'item-course-002485']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Science / Environment,pg-service-college-science-environment,Social Science,,College independent-study course in Social Science. Credit: VC.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,78,,Aging and society,1995,State University of New York Empire State College,high,HS315,need-education,84,Education / Postsecondary / Science / Environment,15,pg-service-college-science-environment-page-006,HS315,Aging and society,item-course-002486,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002486,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS315,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Social Science; credit: VC; division: U,42,Aging and society,,pg-service-college-science-environment,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-science-environment', 'pg-service-college-science-environment-page-006', 'item-course-002486']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Business / Economics / Finance,pg-service-college-business-economics-finance,"Complexity, management, and change",,"College independent-study course in Complexity, management, and change. Credit: 4U.",English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,76,,Counseling theory,1995,State University of New York Empire State College,high,HS404,need-education,84,Education / Postsecondary / Business / Economics / Finance,15,pg-service-college-business-economics-finance-page-010,HS404,Counseling theory,item-course-002487,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002487,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS404,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,"Institution: State University of New York Empire State College; level: College; department: Complexity, management, and change; credit: 4U; division: U",42,Counseling theory,,pg-service-college-business-economics-finance,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-business-economics-finance', 'pg-service-college-business-economics-finance-page-010', 'item-course-002487']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Business / Economics / Finance,pg-service-college-business-economics-finance,"Complexity, management, and change",,"College independent-study course in Complexity, management, and change. Credit: VC.",English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,77,,Family and society,1995,State University of New York Empire State College,high,HS320,need-education,84,Education / Postsecondary / Business / Economics / Finance,15,pg-service-college-business-economics-finance-page-010,HS320,Family and society,item-course-002488,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002488,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS320,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,"Institution: State University of New York Empire State College; level: College; department: Complexity, management, and change; credit: VC; division: U",42,Family and society,,pg-service-college-business-economics-finance,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-business-economics-finance', 'pg-service-college-business-economics-finance-page-010', 'item-course-002488']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — General / Interdisciplinary,pg-service-college-general-interdisciplinary,Historical views of developmental disability,,College independent-study course in Historical views of developmental disability. Credit: 4U.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,76,,Human development I,1995,State University of New York Empire State College,high,HS215,need-education,84,Education / Postsecondary / General / Interdisciplinary,15,pg-service-college-general-interdisciplinary-page-007,HS215,Human development I,item-course-002489,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002489,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS215,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Historical views of developmental disability; credit: 4U; division: L,42,Human development I,,pg-service-college-general-interdisciplinary,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-general-interdisciplinary', 'pg-service-college-general-interdisciplinary-page-007', 'item-course-002489']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — General / Interdisciplinary,pg-service-college-general-interdisciplinary,Historical views of developmental disability,,College independent-study course in Historical views of developmental disability. Credit: 4U.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,69,,Human development II,1995,State University of New York Empire State College,high,HS216,need-education,84,Education / Postsecondary / General / Interdisciplinary,15,pg-service-college-general-interdisciplinary-page-007,HS216,Human development II,item-course-002490,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002490,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS216,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Historical views of developmental disability; credit: 4U; division: L,42,Human development II,,pg-service-college-general-interdisciplinary,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-general-interdisciplinary', 'pg-service-college-general-interdisciplinary-page-007', 'item-course-002490']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Psychology / Sociology / Human Services,pg-service-college-psychology-sociology-human-services,Historical views of developmental disability,,College independent-study course in Historical views of developmental disability. Credit: 6U.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,79,,Human services delivery: cultural diversity,1995,State University of New York Empire State College,high,HS310,need-education,84,Education / Postsecondary / Psychology / Sociology / Human Services,15,pg-service-college-psychology-sociology-human-services-page-004,HS310,Human services delivery: cultural diversity,item-course-002491,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002491,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS310,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Historical views of developmental disability; credit: 6U; division: U,42,Human services delivery: cultural diversity,,pg-service-college-psychology-sociology-human-services,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-psychology-sociology-human-services', 'pg-service-college-psychology-sociology-human-services-page-004', 'item-course-002491']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — General / Interdisciplinary,pg-service-college-general-interdisciplinary,Historical views of developmental disability,,"College independent-study course in Historical views of developmental disability. Credit: 4U, VI.",English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,79,,Introduction to human development: worlds of children,1995,State University of New York Empire State College,high,IN217,need-education,84,Education / Postsecondary / General / Interdisciplinary,15,pg-service-college-general-interdisciplinary-page-007,IN217,Introduction to human development: worlds of children,item-course-002492,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002492,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,IN217,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,"Institution: State University of New York Empire State College; level: College; department: Historical views of developmental disability; credit: 4U, VI; division: L",42,Introduction to human development: worlds of children,,pg-service-college-general-interdisciplinary,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-general-interdisciplinary', 'pg-service-college-general-interdisciplinary-page-007', 'item-course-002492']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Health / Nursing / Emergency Services,pg-service-college-health-nursing-emergency-services,Introduction to health and human services,,College independent-study course in Introduction to health and human services. Credit: 4U.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,80,,Issues in social policy: the welfare debate,1995,State University of New York Empire State College,high,HS414,need-education,84,Education / Postsecondary / Health / Nursing / Emergency Services,15,pg-service-college-health-nursing-emergency-services-page-002,HS414,Issues in social policy: the welfare debate,item-course-002493,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-002493,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,HS414,The Independent Study Catalog,SRC-EDU-ISC-1995,,State University of New York Empire State College,Institution: State University of New York Empire State College; level: College; department: Introduction to health and human services; credit: 4U; division: U,42,Issues in social policy: the welfare debate,,pg-service-college-health-nursing-emergency-services,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-health-nursing-emergency-services', 'pg-service-college-health-nursing-emergency-services-page-002', 'item-course-002493']",
