NID,Titre,URL,Organization,Produit,Problème,"Ce que vous devriez faire",Catégorie,"Classe de rappel","Dernière mise à jour",Archivé
82094,"Rappel élargi : Ensembles de Pyjamas 2 pièces et Pantalons de détente « U Kids We Love Cozy » rappelés en raison d'un risque d’inflammabilité",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-elargi-ensembles-pyjamas-2-pieces-et-pantalons-detente-u-kids-we-love-cozy,"Sécurité des produits de consommation","Ensembles de Pyjamas 2 pièces et Pantalons de détente « U Kids We Love Cozy »","Risque d’inflammabilité","Les consommateurs devraient cesser immédiatement d’utiliser les produits rappelés et les retourner dans un magasin Urban Kids ou Urban Planet pour un remboursement.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec YM Inc. par telephone au 1-866-717-7008, du lundi au vendredi de from 9h à 17h HE, par courriel au customerservice@yminc.ca, ou&nbsp;consulter le&nbsp;site Web de l’entreprise.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.",Vêtements,,2026-06-17,0
82197,"Gants d’examen en nitrile HALYARD* PUREZERO* Ultra Violet*",https://recalls-rappels.canada.ca/fr/avis-rappel/gants-examen-en-nitrile-halyard-purezero-ultra-violet,"Instruments médicaux","Gants d’examen en nitrile HALYARD* PUREZERO* Ultra Violet*",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2026-06-17,0
82215,"CorNeat KPro",https://recalls-rappels.canada.ca/fr/avis-rappel/corneat-kpro,"Instruments médicaux","CorNeat KPro",Rendement,,"Matériel d’ophtalmologie","Type II",2026-06-17,0
82216,"Artis icono plafond",https://recalls-rappels.canada.ca/fr/avis-rappel/artis-icono-plafond,"Instruments médicaux","Artis icono plafond","Compatibilité du matériel",,"Matériel de radiologie","Type II",2026-06-17,0
82217,"Capuchon distal à usage unique",https://recalls-rappels.canada.ca/fr/avis-rappel/capuchon-distal-usage-unique,"Instruments médicaux","Capuchon distal à usage unique",Rendement,,"Matériel orthopédique","Type II",2026-06-17,0
82218,"Pompes IV de précision Plum™",https://recalls-rappels.canada.ca/fr/avis-rappel/pompes-iv-precision-plumtm,"Instruments médicaux","Pompes IV de précision Plum™",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2026-06-17,0
82223,"Rappel de « Sangria Cider » de marque Ernest Cider en raison de la présence de levures",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-sangria-cider-marque-ernest-cider-en-raison-presence-levures,ACIA,"« Sangria Cider »","Non nocive (qualité ou détérioration)",,Alcoolisées,"Classe 3",2026-06-17,0
82227,"Polyflex fiole poudre pour suspension; Fiole fissurée",https://recalls-rappels.canada.ca/fr/avis-rappel/polyflex-fiole-poudre-pour-suspension-fiole-fissuree,"Médicaments et produits de santé","Polyflex 25 g/fiole poudre pour suspension","Qualité du produit","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.","Médicaments vétérinaires","Type II",2026-06-17,0
82212,"Systèmes de réanimation intégrés et autonomes de GE Healthcare",https://recalls-rappels.canada.ca/fr/avis-rappel/systemes-reanimation-integres-et-autonomes-ge-healthcare,"Instruments médicaux","Systèmes de réanimation intégrés et autonomes de GE Healthcare",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2026-06-16,0
82214,"Les caissons hyperbares à parois souples non homologués peuvent présenter de graves risques pour la santé 2026-06-16",https://recalls-rappels.canada.ca/fr/avis-rappel/caissons-hyperbares-parois-souples-non-homologues-peuvent-presenter-graves-risques-0,"Direction générale des communications et des affaires publiques","Caissons hyperbares à parois souples non homologués","Instrument non homologué","N'utilisez pas de caissons hyperbares à parois souples.Consultez un professionnel de la santé si vous utilisez ou avez utilisé un caisson hyperbare à parois souples et que vous vous inquiétez pour votre santé.N'utilisez que des instruments médicaux homologués. Vérifiez si la vente d'instruments médicaux a été autorisée en effectuant une recherche dans la Liste des instruments médicaux homologués en vigueur (MDALL) de Santé Canada.Transmettez toute plainte concernant des instruments médicaux, y compris les problèmes de santé ou la vente d'instruments non homologués, à Santé Canada.","Matériel médical, instruments médicaux et dispositifs médicaux",,2026-06-16,0
82222,"Lancora Comprimés; Comprimés cassés ou partiellement contenus dans la plaquette thermoformée",https://recalls-rappels.canada.ca/fr/avis-rappel/lancora-comprimes-comprimes-casses-ou-partiellement-contenus-dans-plaquette,"Médicaments et produits de santé","Lancora 5 mg comprimé","Qualité du produit","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type III",2026-06-16,0
82224,"Numéro de rappel de Transports Canada - 2026266 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026266-mercedes-benz,TC,"Véhicule utilitaire-sport rappelé par MERCEDES-BENZ","Sièges et dispositifs de retenue",,"Véhicule utilitaire-sport",,2026-06-15,0
82225,"Numéro de rappel de Transports Canada - 2026267 - PIAGGIO GROUP",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026267-piaggio-group,TC,"Cyclomoteur / Pétrolette / Scooter rappelé par PIAGGIO GROUP","Système visuel",,"Cyclomoteur / Pétrolette / Scooter",,2026-06-15,0
82146,"Numéro de rappel de Transports Canada - 2026238 - HYUNDAI",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026238-hyundai,TC,"Véhicule utilitaire-sport rappelé par HYUNDAI",Autres,,"Camionnette et fourgonnette - Véhicule utilitaire-sport",,2026-06-12,0
82179,"Numéro de rappel de Transports Canada - 2026264 - ARBOC SPECIALTY VEHICLES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026264-arboc-specialty-vehicles,TC,"Autobus rappelé par ARBOC SPECIALTY VEHICLES","Sièges et dispositifs de retenue",,Autobus,,2026-06-12,0
82198,"Rappel de Produit laitier sans lactose UltraPūr 2 % M.G. de marque Lactantia en raison d’un enrichissement excessif en vitamines A et D",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-produit-laitier-sans-lactose-ultrapur-2-mg-marque-lactantia-en-raison,ACIA,"Produit laitier sans lactose UltraPūr 2 % M.G.","Problème concernant la nutrition","Si vous croyez avoir été malade après avoir consommé un produit visé par un rappel, communiquez avec votre fournisseur de soins de santé.Vérifiez si vous avez des produits visés par un rappel.Ne pas consommer, utiliser, vendre, servir ou distribuer des produits visés par un rappel.Des produits visés par un rappel devraient être jetés ou rapportés au lieu où ils ont été achetés.En savoir plus :Abonnez-vous aux avis de rappel par courriel, suivez-nous dans les médias sociauxVenez voir notre explication détaillée du processus d'enquête sur la salubrité alimentaire et de rappel d'aliments&nbsp;Signalez un incident lié à la salubrité ou l'étiquetage d'un aliment","Produits laitiers","Classe 2",2026-06-12,0
82209,"Numéro de rappel de Transports Canada - 2026263 - FOREST RIVER",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026263-forest-river,TC,"Caravane rappelé par FOREST RIVER","Circuit électrique",,Caravane,,2026-06-12,0
75122,"Numéro de rappel de Transports Canada - 2024084 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2024084-ford,TC,"Véhicule utilitaire-sport rappelé par FORD","Sièges et dispositifs de retenue",,"Véhicule utilitaire-sport",,2026-06-11,0
77235,"Numéro de rappel de Transports Canada - 2025164 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025164-ford,TC,"Véhicule utilitaire-sport rappelé par FORD","Sièges et dispositifs de retenue",,"Véhicule utilitaire-sport",,2026-06-11,0
82184,"Trousses de retenue incluses dans les meubles Childcraft rappelées en raison de risques de renversement et de coincement pour les enfants",https://recalls-rappels.canada.ca/fr/avis-rappel/trousses-retenue-incluses-dans-meubles-childcraft-rappelees-en-raison-risques,"Sécurité des produits de consommation","Trousses de retenue en plastique incluses dans les meubles Childcraft","Risque de coincement - Risque de renversement","Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec School Specialty pour obtenir une trousse de retenue de remplacement gratuite en acier inoxydable. Les consommateurs devraient tenir les enfants à l’écart des unités en attendant une trousse de retenue de remplacement et jeter la trousse de retenue en plastique rappelée dans leur poubelle domestique une fois qu’ils ont installé la trousse de retenue de remplacement.&nbsp;Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec School Specialty par téléphone au 1-866-588-6951 de 8 h à 17 h HC du lundi au vendredi, par courriel&nbsp;au compliance@schoolspecialty.com ou consulter le site Web de l’entreprise.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Articles de maison",,2026-06-11,0
82195," Logiciel des Tests Aptima VHB Quant, VIH Quant Dx et VHC Quant Dx",https://recalls-rappels.canada.ca/fr/avis-rappel/logiciel-tests-aptima-vhb-quant-vih-quant-dx-et-vhc-quant-dx,"Instruments médicaux"," Logiciel des Tests Aptima VHB Quant, VIH Quant Dx et VHC Quant Dx","Instrument non homologué",,"Matériel d'immunologie","Type II",2026-06-11,0
82196,"Bobine refroidie ETMS 70 mm",https://recalls-rappels.canada.ca/fr/avis-rappel/bobine-refroidie-etms-70-mm,"Instruments médicaux","Bobine refroidie ETMS 70 mm",Rendement,,"Matériel d’anesthésiologie","Type II",2026-06-11,0
82208,"Numéro de rappel de Transports Canada - 2026261 - TOYOTA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026261-toyota,TC,"Véhicule utilitaire-sport rappelé par TOYOTA","Système visuel",,"Voiture - Véhicule utilitaire-sport",,2026-06-11,0
77210,"Numéro de rappel de Transports Canada - 2025151 - PACCAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025151-paccar,TC,"Camion - usage moyen et usage intensif rappelé par PACCAR","Haute tension",,"Camion - usage moyen et usage intensif",,2026-06-10,0
82186,"Santé Canada met en garde la population que l'attache-tétine en bois COHEALI pour bébé précédemment disponible sur Amazon.ca peut présenter un risque d’étouffement",https://recalls-rappels.canada.ca/fr/avis-rappel/sante-canada-met-en-garde-population-que-attache-tetine-en-bois-coheali-pour-bebe,"Sécurité des produits de consommation","L'attache-tétine en bois COHEALI pour bébé","Risque d’étouffement","Les consommateurs devraient cesser immédiatement d’utiliser le produit affecté et l’éliminer afin qu’il ne puisse plus être utilisé.Consultez régulièrement la base de données sur les rappels et les avis de sécurité de Canadiens en santé pour trouver des produits dangereux et prendre des mesures pour éliminer les éléments préoccupants.Santé Canada tient à rappeler les consommateurs de signaler tout incident lié à la santé ou à la sécurité découlant de l'utilisation de ces produits ou d'autres produits de consommation ou de cosmétiques en remplissant le Formulaire à l'intention des consommateurs (Rapport d'incident concernant un produit de consommation ou un produit cosmétique).Liens connexesInformation pour les Canadiens voyageant à l'extérieur du CanadaAcheter des produits de consommation en ligneRestez branché et recevez les plus récents avis et rappels de produits de Santé Canada grâce aux médias sociaux.",Autres,,2026-06-10,0
82187,"CannaPiece Corp. rappelle les cartouches de vapotage 510 Wild West 96+ Strawberry Stampede Liquid Diamonds en raison d’un problème d’étiquetage",https://recalls-rappels.canada.ca/fr/avis-rappel/cannapiece-corp-rappelle-cartouches-vapotage-510-wild-west-96-strawberry-stampede,"Substances contrôlées et du cannabis","Cartouche de vapotage 510 Wild West 96+ Strawberry Stampede Liquid Diamonds (extrait de cannabis)","Étiquetage et conditionnement (emballage)","Vérifiez si vos produits sont touchés.Contactez le magasin où vous avez acheté les produits si vous souhaitez les retourner.Signalez toute plainte relative à la santé ou à la sécurité que vous avez concernant ces produits du cannabis ou d’autres produits en remplissant le Formulaire de déclaration relative au cannabis en ligne.",Cannabis,,2026-06-10,0
82193,"Rappel de sachets de nicotine; sans autorisation",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-sachets-nicotine-sans-autorisation,"Médicaments et produits de santé","Nicotine pouch","Produits non homologués","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type II",2026-06-10,0
82194,"Systèmes de mammographie Selenia Dimensions 2D/3D",https://recalls-rappels.canada.ca/fr/avis-rappel/systemes-mammographie-selenia-dimensions-2d3d,"Instruments médicaux","Systèmes de mammographie Selenia Dimensions 2D/3D",Rendement,,"Matériel de radiologie","Type II",2026-06-10,0
82199,"Numéro de rappel de Transports Canada - 2026256 - PACCAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026256-paccar,TC,"Camion - usage moyen et usage intensif rappelé par PACCAR","Haute tension",,"Camion - usage moyen et usage intensif",,2026-06-10,0
82200,"Numéro de rappel de Transports Canada - 2026257 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026257-ford,TC,"Véhicule utilitaire-sport rappelé par FORD","Sièges et dispositifs de retenue",,"Véhicule utilitaire-sport",,2026-06-10,0
82201,"Numéro de rappel de Transports Canada - 2026260 - GENERAL MOTORS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026260-general-motors,TC,"Camionnette et fourgonnette rappelé par GENERAL MOTORS","Groupe motopropulseur",,"Châssis-cabine - Camionnette et fourgonnette",,2026-06-10,0
82202,"Numéro de rappel de Transports Canada - 2026262 - VOLVO TRUCKS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026262-volvo-trucks,TC,"Camion - usage moyen et usage intensif rappelé par VOLVO TRUCKS",Roues,,"Camion - usage moyen et usage intensif",,2026-06-10,0
82203,"Numéro de rappel de Transports Canada - 2026265 - MACK",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026265-mack,TC,"Camion - usage moyen et usage intensif rappelé par MACK",Roues,,"Camion - usage moyen et usage intensif",,2026-06-10,0
82204,"Numéro de rappel de Transports Canada - 2026271 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026271-fiat-chrysler-automobiles,TC,"Véhicule utilitaire-sport rappelé par FIAT CHRYSLER AUTOMOBILES",Direction,,"Véhicule utilitaire-sport",,2026-06-10,0
82205,"Numéro de rappel de Transports Canada - 2026272 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026272-fiat-chrysler-automobiles,TC,"Minifourgonnette rappelé par FIAT CHRYSLER AUTOMOBILES","Haute tension",,Minifourgonnette,,2026-06-10,0
82206,"Numéro de rappel de Transports Canada - 2026275 - HONDA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026275-honda,TC,"Véhicule utilitaire-sport rappelé par HONDA",Structure,,"Camionnette et fourgonnette - Véhicule utilitaire-sport",,2026-06-10,0
81983,"Rappel élargi : Robes de chambre en peluche avec divers motifs rappelées en raison d'un risque d’inflammabilité",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-elargi-robes-chambre-en-peluche-avec-divers-motifs-rappelees-en-raison-risque,"Sécurité des produits de consommation","Souris Mini – Robes de chambre en peluche avec divers motifs","Risque d’inflammabilité","Les consommateurs devraient cesser immédiatement d’utiliser les produits rappelés et contacter la compagnie Groupe Souris Mini inc.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Groupe Souris Mini par téléphone au 418-524-6464 poste 304 du lundi au vendredi de 8h à 16 h30, par courriel au serviceclientele@sourismini.com ou consulter le site Web de l’entreprise .Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.",Vêtements,,2026-06-09,0
81985,"Rappel élargi : Robes de nuit à divers motifs rappelées en raison d’un risque d’inflammabilité",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-elargi-robes-nuit-divers-motifs-rappelees-en-raison-risque-inflammabilite,"Sécurité des produits de consommation","Souris Mini – Robes de nuit à divers motifs","Risque d’inflammabilité","Les consommateurs devraient cesser immédiatement d’utiliser les produits rappelés et contacter la compagnie Groupe Souris Mini inc.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Groupe Souris Mini par téléphone au 418-524-6464 poste 304 du lundi au vendredi de 8h à 16 h30 ou par courriel au serviceclientele@sourismini.com ou consulter le site Web de l’entreprise . Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.",Vêtements,,2026-06-09,0
82174,"Tours d’apprentissage pour enfants Wiifo rappelés en raison des risques de chute et de coincement",https://recalls-rappels.canada.ca/fr/avis-rappel/tours-apprentissage-pour-enfants-wiifo-rappeles-en-raison-risques-chute-et-coincement,"Sécurité des produits de consommation","Tours d’apprentissage pour enfants Wiifo","Risque de chute - Risque de coincement","Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec Wiifo pour obtenir un remboursement. Les consommateurs seront invités à détruire la tour d’apprentissage en la démontant et à envoyer une photo de la tour détruite à l’adresse support@wiifo.net. Les consommateurs devront ensuite jeter le produit détruit.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Wiifo par courriel à support@wiifo.net ou consulter le site Web de l’entreprise.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Jouets et jeux",,2026-06-09,0
82180,"Stores enrouleurs de Urban Shades rappelés en raison d'un risque d'étranglement ",https://recalls-rappels.canada.ca/fr/avis-rappel/stores-enrouleurs-urban-shades-rappeles-en-raison-risque-etranglement,"Sécurité des produits de consommation","Stores enrouleurs ","Risque d’étranglement","Les consommateurs devraient&nbsp;cesser immédiatement d’utiliser le produit rappelé, le garder hors de la portée des enfants et communiquer avec Urban Shades pour obtenir des instructions de réparation.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec&nbsp;Urban Shades&nbsp;par téléphone&nbsp;au&nbsp;289-201-2071, de 10 h à 18 h HE, du lundi au vendredi ou de 12 h à&nbsp;16 h&nbsp;HE&nbsp;les samedis,&nbsp;ou par courriel&nbsp;à&nbsp;info@urbanshades.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les&nbsp;consommateurs&nbsp;à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits,&nbsp;qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Articles de maison",,2026-06-09,0
82183,"Rappel de Tartinade - chocolat au lait de marque allo simonne en raison de la présence de morceaux de verre",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-tartinade-chocolat-au-lait-marque-allo-simonne-en-raison-presence-morceaux-verre,ACIA,"Tartinade - chocolat au lait","Matières étrangères",,"Bonbons, confiseries, collations et édulcorants","Classe 2",2026-06-09,0
82185,"Canule de Guedel",https://recalls-rappels.canada.ca/fr/avis-rappel/canule-guedel-0,"Instruments médicaux","Canule de Guedel",Rendement,,"Matériel d’anesthésiologie","Type I",2026-06-09,0
81968,"Numéro de rappel de Transports Canada - 2026185 - HYUNDAI",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026185-hyundai,TC,"Véhicule utilitaire-sport rappelé par HYUNDAI","Système d'alimentation en carburant",,"Voiture - Véhicule utilitaire-sport",,2026-06-08,0
82181,"Rappel de produits de Baxter Corporation; Casse du bouchon bleu",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-produits-baxter-corporation-casse-du-bouchon-bleu,"Médicaments et produits de santé","Solution injectable de chlorure de sodium; Solution d'irrigation au chlorure de sodium; Solution injectable de chlorure de potassium (20 mmol/L) dans une solution de dextrose à 5 % et de chlorure de sodium;  Solution injectable de Ringer lactate","Conditionnement (emballage)","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type III",2026-06-08,0
82182,"PMS-Fluconazole 50 mg comprimé; Quantité incorrecte de comprimés",https://recalls-rappels.canada.ca/fr/avis-rappel/pms-fluconazole-50-mg-comprime-quantite-incorrecte-comprimes,"Médicaments et produits de santé","PMS-Fluconazole 50 mg comprimé","Conditionnement (emballage)","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type III",2026-06-08,0
